DateTime,Max/Min,State,Fuel Type,Supply
2/1/2018 4:00,Min,NEM,Battery,0
2/1/2018 4:00,Min,NEM,Biomass,10.233
2/1/2018 4:00,Min,NEM,Black coal,10655.808
2/1/2018 4:00,Min,NEM,Brown coal,4655.597
2/1/2018 4:00,Min,NEM,Distributed PV,0
2/1/2018 4:00,Min,NEM,Gas,1517.622
2/1/2018 4:00,Min,NEM,Hydro,355.826
2/1/2018 4:00,Min,NEM,Liquid Fuel,0.098
2/1/2018 4:00,Min,NEM,Utility-scale Solar,2.204
2/1/2018 4:00,Min,NEM,Wind,566.57
6/1/2018 12:00,Max,NEM,Battery,0.566
6/1/2018 12:00,Max,NEM,Biomass,14.516
6/1/2018 12:00,Max,NEM,Black coal,14111.605
6/1/2018 12:00,Max,NEM,Brown coal,4540.312
6/1/2018 12:00,Max,NEM,Distributed PV,3876.574
6/1/2018 12:00,Max,NEM,Gas,1907.942
6/1/2018 12:00,Max,NEM,Hydro,1888.634
6/1/2018 12:00,Max,NEM,Liquid Fuel,0.021
6/1/2018 12:00,Max,NEM,Utility-scale Solar,267.204
6/1/2018 12:00,Max,NEM,Wind,2864.484
13/2/2018 3:30,Min,NEM,Battery,1.333
13/2/2018,Min,NEM,Biomass,24.566
13/2/2018 3:30,Min,NEM,Black coal,12074.488
13/2/2018 3:30,Min,NEM,Brown coal,4720.514
13/2/2018 3:30,Min,NEM,Distributed PV,0
13/2/2018 3:30,Min,NEM,Gas,1724.87
13/2/2018 3:30,Min,NEM,Hydro,554.192
13/2/2018 3:30,Min,NEM,Liquid Fuel,0.037
13/2/2018 3:30,Min,NEM,Utility-scale Solar,1.597
13/2/2018 3:30,Min,NEM,Wind,437.997
28/2/2018,Max,NEM,Battery,0
28/2/2018,Max,NEM,Biomass,0
28/2/2018,Max,NEM,Black coal,12779.094
28/2/2018,Max,NEM,Brown coal,4685.62
28/2/2018,Max,NEM,Distributed PV,3359.465
28/2/2018,Max,NEM,Gas,1673.393
28/2/2018,Max,NEM,Hydro,1438.767
28/2/2018,Max,NEM,Liquid Fuel,0
28/2/2018,Max,NEM,Utility-scale Solar,279.652
28/2/2018,Max,NEM,Wind,3237.624
3/3/2018 2:30,Min,NEM,Battery,5.733
3/3/2018 2:30,Min,NEM,Biomass,0
3/3/2018 2:30,Min,NEM,Black coal,11535.505
3/3/2018 2:30,Min,NEM,Brown coal,4377.721
3/3/2018 2:30,Min,NEM,Distributed PV,0
3/3/2018 2:30,Min,NEM,Gas,1670.423
3/3/2018 2:30,Min,NEM,Hydro,529.823
3/3/2018 2:30,Min,NEM,Liquid Fuel,0
3/3/2018 2:30,Min,NEM,Utility-scale Solar,2.162
3/3/2018 2:30,Min,NEM,Wind,332.143
18/3/2018 11:30,Max,NEM,Battery,0
18/3/2018 11:30,Max,NEM,Biomass,4.1
18/3/2018 11:30,Max,NEM,Black coal,11525.754
18/3/2018 11:30,Max,NEM,Brown coal,3498.21
18/3/2018 11:30,Max,NEM,Distributed PV,3088.228
18/3/2018 11:30,Max,NEM,Gas,1526.212
18/3/2018 11:30,Max,NEM,Hydro,1546.167
18/3/2018 11:30,Max,NEM,Liquid Fuel,0.088
18/3/2018 11:30,Max,NEM,Utility-scale Solar,296.753
18/3/2018 11:30,Max,NEM,Wind,3116.855
8/4/2018 12:00,Max,NEM,Battery,0
8/4/2018 12:00,Max,NEM,Biomass,6.983
8/4/2018 12:00,Max,NEM,Black coal,10745.275
8/4/2018 12:00,Max,NEM,Brown coal,3441.854
8/4/2018 12:00,Max,NEM,Distributed PV,3073.263
8/4/2018 12:00,Max,NEM,Gas,1045.377
8/4/2018 12:00,Max,NEM,Hydro,1498.419
8/4/2018 12:00,Max,NEM,Liquid Fuel,0.059
8/4/2018 12:00,Max,NEM,Utility-scale Solar,327.757
8/4/2018 12:00,Max,NEM,Wind,2700.229
25/4/2018 1:30,Min,NEM,Battery,9.65
25/4/2018 1:30,Min,NEM,Biomass,0
25/4/2018 1:30,Min,NEM,Black coal,11478.03
25/4/2018 1:30,Min,NEM,Brown coal,4371.855
25/4/2018 1:30,Min,NEM,Distributed PV,0
25/4/2018 1:30,Min,NEM,Gas,1747.5
25/4/2018 1:30,Min,NEM,Hydro,1113.936
25/4/2018 1:30,Min,NEM,Liquid Fuel,0.08
25/4/2018 1:30,Min,NEM,Utility-scale Solar,0.298
25/4/2018 1:30,Min,NEM,Wind,294.789
11/5/2018 12:30,Max,NEM,Battery,2.55
11/5/2018 12:30,Max,NEM,Biomass,7.466
11/5/2018 12:30,Max,NEM,Black coal,11308.68
11/5/2018 12:30,Max,NEM,Brown coal,4376.679
11/5/2018 12:30,Max,NEM,Distributed PV,2340.449
11/5/2018 12:30,Max,NEM,Gas,1528.155
11/5/2018 12:30,Max,NEM,Hydro,2160.081
11/5/2018 12:30,Max,NEM,Liquid Fuel,0.079
11/5/2018 12:30,Max,NEM,Utility-scale Solar,314.416
11/5/2018 12:30,Max,NEM,Wind,3400.084
19/5/2018 2:00,Min,NEM,Battery,3.516
19/5/2018 2:00,Min,NEM,Biomass,0
19/5/2018 2:00,Min,NEM,Black coal,12203.278
19/5/2018 2:00,Min,NEM,Brown coal,4355.708
19/5/2018 2:00,Min,NEM,Distributed PV,0
19/5/2018 2:00,Min,NEM,Gas,1868.571
19/5/2018 2:00,Min,NEM,Hydro,1246.756
19/5/2018 2:00,Min,NEM,Liquid Fuel,0.056
19/5/2018 2:00,Min,NEM,Utility-scale Solar,1.2
19/5/2018 2:00,Min,NEM,Wind,237.795
3/6/2018 1:30,Min,NEM,Battery,2.033
3/6/2018 1:30,Min,NEM,Biomass,0
3/6/2018 1:30,Min,NEM,Black coal,12619.161
3/6/2018 1:30,Min,NEM,Brown coal,4359.655
3/6/2018 1:30,Min,NEM,Distributed PV,0
3/6/2018 1:30,Min,NEM,Gas,1671.123
3/6/2018 1:30,Min,NEM,Hydro,1368.906
3/6/2018 1:30,Min,NEM,Liquid Fuel,0.07
3/6/2018 1:30,Min,NEM,Utility-scale Solar,0.998
3/6/2018 1:30,Min,NEM,Wind,405.544
15/6/2018 13:00,Max,NEM,Battery,1.216
15/6/2018 13:00,Max,NEM,Biomass,15.75
15/6/2018 13:00,Max,NEM,Black coal,11920.277
15/6/2018 13:00,Max,NEM,Brown coal,3793.945
15/6/2018 13:00,Max,NEM,Distributed PV,2429.612
15/6/2018 13:00,Max,NEM,Gas,1006.782
15/6/2018 13:00,Max,NEM,Hydro,2850.507
15/6/2018 13:00,Max,NEM,Liquid Fuel,0.066
15/6/2018 13:00,Max,NEM,Utility-scale Solar,346.507
15/6/2018 13:00,Max,NEM,Wind,3295.158
1/7/2018 6:00,Min,NEM,Battery,0
1/7/2018 6:00,Min,NEM,Biomass,14.7
1/7/2018 6:00,Min,NEM,Black coal,11808.43
1/7/2018 6:00,Min,NEM,Brown coal,4692.621
1/7/2018 6:00,Min,NEM,Distributed PV,0
1/7/2018 6:00,Min,NEM,Gas,1019.829
1/7/2018 6:00,Min,NEM,Hydro,1209.077
1/7/2018 6:00,Min,NEM,Liquid Fuel,0.09
1/7/2018 6:00,Min,NEM,Utility-scale Solar,1.009
1/7/2018 6:00,Min,NEM,Wind,679.985
29/7/2018 12:00,Max,NEM,Battery,0
29/7/2018 12:00,Max,NEM,Biomass,45.116
29/7/2018 12:00,Max,NEM,Black coal,9987.015
29/7/2018 12:00,Max,NEM,Brown coal,3884.068
29/7/2018 12:00,Max,NEM,Distributed PV,2965.349
29/7/2018 12:00,Max,NEM,Gas,512.705
29/7/2018 12:00,Max,NEM,Hydro,1690.984
29/7/2018 12:00,Max,NEM,Liquid Fuel,0.063
29/7/2018 12:00,Max,NEM,Utility-scale Solar,524.393
29/7/2018 12:00,Max,NEM,Wind,3395.858
18/8/2018 12:30,Max,NEM,Battery,10.718
18/8/2018 12:30,Max,NEM,Biomass,61.283
18/8/2018 12:30,Max,NEM,Black coal,9543.97
18/8/2018 12:30,Max,NEM,Brown coal,4097.025
18/8/2018 12:30,Max,NEM,Distributed PV,3406.807
18/8/2018 12:30,Max,NEM,Gas,494.475
18/8/2018 12:30,Max,NEM,Hydro,1338.585
18/8/2018 12:30,Max,NEM,Liquid Fuel,0.098
18/8/2018 12:30,Max,NEM,Utility-scale Solar,582.589
18/8/2018 12:30,Max,NEM,Wind,3694.63
26/8/2018 5:30,Min,NEM,Battery,0.001
26/8/2018 5:30,Min,NEM,Biomass,49.333
26/8/2018 5:30,Min,NEM,Black coal,10745.508
26/8/2018 5:30,Min,NEM,Brown coal,3822.67
26/8/2018 5:30,Min,NEM,Distributed PV,0
26/8/2018 5:30,Min,NEM,Gas,1363.959
26/8/2018 5:30,Min,NEM,Hydro,1686.212
26/8/2018 5:30,Min,NEM,Liquid Fuel,0.114
26/8/2018 5:30,Min,NEM,Utility-scale Solar,0.996
26/8/2018 5:30,Min,NEM,Wind,624.713
15/9/2018 12:00,Max,NEM,Battery,0
15/9/2018 12:00,Max,NEM,Biomass,49.7
15/9/2018 12:00,Max,NEM,Black coal,9940.573
15/9/2018 12:00,Max,NEM,Brown coal,3642.695
15/9/2018 12:00,Max,NEM,Distributed PV,3619.026
15/9/2018 12:00,Max,NEM,Gas,726.189
15/9/2018 12:00,Max,NEM,Hydro,1308.343
15/9/2018 12:00,Max,NEM,Liquid Fuel,0.063
15/9/2018 12:00,Max,NEM,Utility-scale Solar,744.665
15/9/2018 12:00,Max,NEM,Wind,3385.191
21/9/2018 5:00,Min,NEM,Battery,0
21/9/2018 5:00,Min,NEM,Biomass,42.016
21/9/2018 5:00,Min,NEM,Black coal,12442.967
21/9/2018 5:00,Min,NEM,Brown coal,3777.425
21/9/2018 5:00,Min,NEM,Distributed PV,0
21/9/2018 5:00,Min,NEM,Gas,1350.814
21/9/2018 5:00,Min,NEM,Hydro,1645.154
21/9/2018 5:00,Min,NEM,Liquid Fuel,0.1
21/9/2018 5:00,Min,NEM,Utility-scale Solar,0.678
21/9/2018 5:00,Min,NEM,Wind,683.175
27/10/2018 12:30,Max,NEM,Battery,0
27/10/2018 12:30,Max,NEM,Biomass,47.85
27/10/2018 12:30,Max,NEM,Black coal,10156.43
27/10/2018 12:30,Max,NEM,Brown coal,3493.569
27/10/2018 12:30,Max,NEM,Distributed PV,4278.19
27/10/2018 12:30,Max,NEM,Gas,724.922
27/10/2018 12:30,Max,NEM,Hydro,823.16
27/10/2018 12:30,Max,NEM,Liquid Fuel,0.046
27/10/2018 12:30,Max,NEM,Utility-scale Solar,1079.572
27/10/2018 12:30,Max,NEM,Wind,2158.734
30/10/2018 2:30,Min,NEM,Battery,0
30/10/2018 2:30,Min,NEM,Biomass,40.15
30/10/2018 2:30,Min,NEM,Black coal,11371.898
30/10/2018 2:30,Min,NEM,Brown coal,3826.834
30/10/2018 2:30,Min,NEM,Distributed PV,0
30/10/2018 2:30,Min,NEM,Gas,1577.444
30/10/2018 2:30,Min,NEM,Hydro,861.514
30/10/2018 2:30,Min,NEM,Liquid Fuel,14.071
30/10/2018 2:30,Min,NEM,Utility-scale Solar,1.477
30/10/2018 2:30,Min,NEM,Wind,635.124
23/11/2018 12:30,Max,NEM,Battery,14.313
23/11/2018 12:30,Max,NEM,Biomass,33.316
23/11/2018 12:30,Max,NEM,Black coal,11425.894
23/11/2018 12:30,Max,NEM,Brown coal,3210.267
23/11/2018 12:30,Max,NEM,Distributed PV,3839.752
23/11/2018 12:30,Max,NEM,Gas,658.647
23/11/2018 12:30,Max,NEM,Hydro,1411.17
23/11/2018 12:30,Max,NEM,Liquid Fuel,10.078
23/11/2018 12:30,Max,NEM,Utility-scale Solar,1187.859
23/11/2018 12:30,Max,NEM,Wind,2916.703
30/11/2018 4:00,Min,NEM,Battery,5.7
30/11/2018 4:00,Min,NEM,Biomass,18.383
30/11/2018 4:00,Min,NEM,Black coal,11683.211
30/11/2018 4:00,Min,NEM,Brown coal,3760.654
30/11/2018 4:00,Min,NEM,Distributed PV,0
30/11/2018 4:00,Min,NEM,Gas,1662.308
30/11/2018 4:00,Min,NEM,Hydro,992.939
30/11/2018 4:00,Min,NEM,Liquid Fuel,0.035
30/11/2018 4:00,Min,NEM,Utility-scale Solar,0.902
30/11/2018 4:00,Min,NEM,Wind,203.406
2/12/2018 10:30,Max,NEM,Battery,1.133
2/12/2018 10:30,Max,NEM,Biomass,36.266
2/12/2018 10:30,Max,NEM,Black coal,10613.467
2/12/2018 10:30,Max,NEM,Brown coal,3202.761
2/12/2018 10:30,Max,NEM,Distributed PV,4006.947
2/12/2018 10:30,Max,NEM,Gas,579.602
2/12/2018 10:30,Max,NEM,Hydro,588.112
2/12/2018 10:30,Max,NEM,Liquid Fuel,0.11
2/12/2018 10:30,Max,NEM,Utility-scale Solar,1221.953
2/12/2018 10:30,Max,NEM,Wind,3778.153
27/12/2018 2:30,Min,NEM,Battery,0.011
27/12/2018 2:30,Min,NEM,Biomass,16.7
27/12/2018 2:30,Min,NEM,Black coal,11000.814
27/12/2018 2:30,Min,NEM,Brown coal,4397.131
27/12/2018 2:30,Min,NEM,Distributed PV,0
27/12/2018 2:30,Min,NEM,Gas,773.39
27/12/2018 2:30,Min,NEM,Hydro,761.72
27/12/2018 2:30,Min,NEM,Liquid Fuel,0.057
27/12/2018 2:30,Min,NEM,Utility-scale Solar,0.677
27/12/2018 2:30,Min,NEM,Wind,887.217
8/1/2019 4:30,Min,NEM,Battery,0
8/1/2019 4:30,Min,NEM,Biomass,29.2
8/1/2019 4:30,Min,NEM,Black coal,12007.479
8/1/2019 4:30,Min,NEM,Brown coal,4365.943
8/1/2019 4:30,Min,NEM,Distributed PV,0
8/1/2019 4:30,Min,NEM,Gas,1140.565
8/1/2019 4:30,Min,NEM,Hydro,761.903
8/1/2019 4:30,Min,NEM,Liquid Fuel,0.047
8/1/2019 4:30,Min,NEM,Utility-scale Solar,1.388
8/1/2019 4:30,Min,NEM,Wind,625.251
13/1/2019 11:00,Max,NEM,Battery,0.005
13/1/2019 11:00,Max,NEM,Biomass,29.5
13/1/2019 11:00,Max,NEM,Black coal,11275.583
13/1/2019 11:00,Max,NEM,Brown coal,4015.079
13/1/2019 11:00,Max,NEM,Distributed PV,4214.506
13/1/2019 11:00,Max,NEM,Gas,891.605
13/1/2019 11:00,Max,NEM,Hydro,871.924
13/1/2019 11:00,Max,NEM,Liquid Fuel,0.081
13/1/2019 11:00,Max,NEM,Utility-scale Solar,1472.495
13/1/2019 11:00,Max,NEM,Wind,2217.708
9/2/2019 12:30,Max,NEM,Battery,0
9/2/2019 12:30,Max,NEM,Biomass,15.066
9/2/2019 12:30,Max,NEM,Black coal,12104.053
9/2/2019 12:30,Max,NEM,Brown coal,3531.061
9/2/2019 12:30,Max,NEM,Distributed PV,4014.747
9/2/2019 12:30,Max,NEM,Gas,1034.47
9/2/2019 12:30,Max,NEM,Hydro,507.357
9/2/2019 12:30,Max,NEM,Liquid Fuel,0.027
9/2/2019 12:30,Max,NEM,Utility-scale Solar,1111.89
9/2/2019 12:30,Max,NEM,Wind,3630.58
10/2/2019 6:00,Min,NEM,Battery,2.4
10/2/2019 6:00,Min,NEM,Biomass,38.866
10/2/2019 6:00,Min,NEM,Black coal,11819.754
10/2/2019 6:00,Min,NEM,Brown coal,4220.766
10/2/2019 6:00,Min,NEM,Distributed PV,66.11
10/2/2019 6:00,Min,NEM,Gas,1206.142
10/2/2019 6:00,Min,NEM,Hydro,521.768
10/2/2019 6:00,Min,NEM,Liquid Fuel,0.034
10/2/2019 6:00,Min,NEM,Utility-scale Solar,4.549
10/2/2019 6:00,Min,NEM,Wind,812.079
10/3/2019 1:00,Min,NEM,Battery,4.093
10/3/2019 1:00,Min,NEM,Biomass,38.333
10/3/2019 1:00,Min,NEM,Black coal,12199.956
10/3/2019 1:00,Min,NEM,Brown coal,4689.975
10/3/2019 1:00,Min,NEM,Distributed PV,0
10/3/2019 1:00,Min,NEM,Gas,1755.465
10/3/2019 1:00,Min,NEM,Hydro,495.779
10/3/2019 1:00,Min,NEM,Liquid Fuel,0.034
10/3/2019 1:00,Min,NEM,Utility-scale Solar,1.636
10/3/2019 1:00,Min,NEM,Wind,366.693
31/3/2019 12:00,Max,NEM,Battery,1.516
31/3/2019 12:00,Max,NEM,Biomass,13.883
31/3/2019 12:00,Max,NEM,Black coal,9226.885
31/3/2019 12:00,Max,NEM,Brown coal,3465.534
31/3/2019 12:00,Max,NEM,Distributed PV,3844.295
31/3/2019 12:00,Max,NEM,Gas,779.841
31/3/2019 12:00,Max,NEM,Hydro,1203.33
31/3/2019 12:00,Max,NEM,Liquid Fuel,0.039
31/3/2019 12:00,Max,NEM,Utility-scale Solar,1372.564
31/3/2019 12:00,Max,NEM,Wind,2093.824
7/4/2019 12:00,Max,NEM,Battery,2.914
7/4/2019 12:00,Max,NEM,Biomass,0
7/4/2019 12:00,Max,NEM,Black coal,9258.415
7/4/2019 12:00,Max,NEM,Brown coal,3238.58
7/4/2019 12:00,Max,NEM,Distributed PV,4262.765
7/4/2019 12:00,Max,NEM,Gas,637.917
7/4/2019 12:00,Max,NEM,Hydro,571.026
7/4/2019 12:00,Max,NEM,Liquid Fuel,0.019
7/4/2019 12:00,Max,NEM,Utility-scale Solar,1453.122
7/4/2019 12:00,Max,NEM,Wind,3216.347
24/4/2019 4:30,Min,NEM,Battery,2.4
24/4/2019 4:30,Min,NEM,Biomass,0
24/4/2019 4:30,Min,NEM,Black coal,10681.637
24/4/2019 4:30,Min,NEM,Brown coal,4196.363
24/4/2019 4:30,Min,NEM,Distributed PV,0
24/4/2019 4:30,Min,NEM,Gas,1313.874
24/4/2019 4:30,Min,NEM,Hydro,545.58
24/4/2019 4:30,Min,NEM,Liquid Fuel,0.019
24/4/2019 4:30,Min,NEM,Utility-scale Solar,2.176
24/4/2019 4:30,Min,NEM,Wind,805.358
6/5/2019 5:30,Min,NEM,Battery,0.002
6/5/2019 5:30,Min,NEM,Biomass,0
6/5/2019 5:30,Min,NEM,Black coal,11328.463
6/5/2019 5:30,Min,NEM,Brown coal,3228.76
6/5/2019 5:30,Min,NEM,Distributed PV,0
6/5/2019 5:30,Min,NEM,Gas,1960.796
6/5/2019 5:30,Min,NEM,Hydro,1094.628
6/5/2019 5:30,Min,NEM,Liquid Fuel,0.038
6/5/2019 5:30,Min,NEM,Utility-scale Solar,1.798
6/5/2019 5:30,Min,NEM,Wind,563.207
26/5/2019 12:00,Max,NEM,Battery,1.257
26/5/2019 12:00,Max,NEM,Biomass,0
26/5/2019 12:00,Max,NEM,Black coal,9412.614
26/5/2019 12:00,Max,NEM,Brown coal,3404.138
26/5/2019 12:00,Max,NEM,Distributed PV,3258.115
26/5/2019 12:00,Max,NEM,Gas,663.419
26/5/2019 12:00,Max,NEM,Hydro,944.47
26/5/2019 12:00,Max,NEM,Liquid Fuel,0.019
26/5/2019 12:00,Max,NEM,Utility-scale Solar,1392.682
26/5/2019 12:00,Max,NEM,Wind,3628.588
17/6/2019 3:00,Min,NEM,Battery,7.783
17/6/2019 3:00,Min,NEM,Biomass,32.766
17/6/2019 3:00,Min,NEM,Black coal,11570.209
17/6/2019 3:00,Min,NEM,Brown coal,3854.134
17/6/2019 3:00,Min,NEM,Distributed PV,0
17/6/2019 3:00,Min,NEM,Gas,1602.071
17/6/2019 3:00,Min,NEM,Hydro,1277.681
17/6/2019 3:00,Min,NEM,Liquid Fuel,0.563
17/6/2019 3:00,Min,NEM,Utility-scale Solar,1.644
17/6/2019 3:00,Min,NEM,Wind,565.749
30/6/2019 12:30,Max,NEM,Battery,13.45
30/6/2019 12:30,Max,NEM,Biomass,60.983
30/6/2019 12:30,Max,NEM,Black coal,9458.405
30/6/2019 12:30,Max,NEM,Brown coal,4057.823
30/6/2019 12:30,Max,NEM,Distributed PV,3136.496
30/6/2019 12:30,Max,NEM,Gas,550.478
30/6/2019 12:30,Max,NEM,Hydro,926.565
30/6/2019 12:30,Max,NEM,Liquid Fuel,5.39
30/6/2019 12:30,Max,NEM,Utility-scale Solar,1670.687
30/6/2019 12:30,Max,NEM,Wind,3361.931
20/7/2019 13:00,Max,NEM,Battery,1.439
20/7/2019 13:00,Max,NEM,Biomass,32.216
20/7/2019 13:00,Max,NEM,Black coal,9458.81
20/7/2019 13:00,Max,NEM,Brown coal,3098.981
20/7/2019 13:00,Max,NEM,Distributed PV,4204.135
20/7/2019 13:00,Max,NEM,Gas,686.856
20/7/2019 13:00,Max,NEM,Hydro,1187.909
20/7/2019 13:00,Max,NEM,Liquid Fuel,0.091
20/7/2019 13:00,Max,NEM,Utility-scale Solar,1791.455
20/7/2019 13:00,Max,NEM,Wind,3017.985
27/7/2019 3:00,Min,NEM,Battery,0.25
27/7/2019 3:00,Min,NEM,Biomass,51.116
27/7/2019 3:00,Min,NEM,Black coal,12107.706
27/7/2019 3:00,Min,NEM,Brown coal,3867.965
27/7/2019 3:00,Min,NEM,Distributed PV,0
27/7/2019 3:00,Min,NEM,Gas,1551.495
27/7/2019 3:00,Min,NEM,Hydro,1531.037
27/7/2019 3:00,Min,NEM,Liquid Fuel,0.088
27/7/2019 3:00,Min,NEM,Utility-scale Solar,0.327
27/7/2019 3:00,Min,NEM,Wind,240.673
24/8/2019 12:30,Max,NEM,Battery,13.885
24/8/2019 12:30,Max,NEM,Biomass,49.366
24/8/2019 12:30,Max,NEM,Black coal,8942.001
24/8/2019 12:30,Max,NEM,Brown coal,2700.675
24/8/2019 12:30,Max,NEM,Distributed PV,4417.127
24/8/2019 12:30,Max,NEM,Gas,633.266
24/8/2019 12:30,Max,NEM,Hydro,1055.425
24/8/2019 12:30,Max,NEM,Liquid Fuel,0.083
24/8/2019 12:30,Max,NEM,Utility-scale Solar,1663.758
24/8/2019 12:30,Max,NEM,Wind,3549.486
26/8/2019 3:00,Min,NEM,Battery,0
26/8/2019 3:00,Min,NEM,Biomass,70.333
26/8/2019 3:00,Min,NEM,Black coal,10829.295
26/8/2019 3:00,Min,NEM,Brown coal,3836.403
26/8/2019 3:00,Min,NEM,Distributed PV,0
26/8/2019 3:00,Min,NEM,Gas,2185.391
26/8/2019 3:00,Min,NEM,Hydro,1137.291
26/8/2019 3:00,Min,NEM,Liquid Fuel,0.073
26/8/2019 3:00,Min,NEM,Utility-scale Solar,1.807
26/8/2019 3:00,Min,NEM,Wind,804.601
13/9/2019 5:00,Min,NEM,Battery,4.083
13/9/2019 5:00,Min,NEM,Biomass,41
13/9/2019 5:00,Min,NEM,Black coal,11001.092
13/9/2019 5:00,Min,NEM,Brown coal,3357.659
13/9/2019 5:00,Min,NEM,Distributed PV,0
13/9/2019 5:00,Min,NEM,Gas,2882.788
13/9/2019 5:00,Min,NEM,Hydro,1230.54
13/9/2019 5:00,Min,NEM,Liquid Fuel,0.26
13/9/2019 5:00,Min,NEM,Utility-scale Solar,1.036
13/9/2019 5:00,Min,NEM,Wind,504.958
22/9/2019 12:30,Max,NEM,Battery,7.205
22/9/2019 12:30,Max,NEM,Biomass,38.9
22/9/2019 12:30,Max,NEM,Black coal,8497.997
22/9/2019 12:30,Max,NEM,Brown coal,2402.812
22/9/2019 12:30,Max,NEM,Distributed PV,4491.321
22/9/2019 12:30,Max,NEM,Gas,674.307
22/9/2019 12:30,Max,NEM,Hydro,1133.28
22/9/2019 12:30,Max,NEM,Liquid Fuel,0.043
22/9/2019 12:30,Max,NEM,Utility-scale Solar,1906.706
22/9/2019 12:30,Max,NEM,Wind,2483.914
6/10/2019 14:00,Max,NEM,Battery,0.433
6/10/2019 14:00,Max,NEM,Biomass,12.416
6/10/2019 14:00,Max,NEM,Black coal,8315.946
6/10/2019 14:00,Max,NEM,Brown coal,2782.974
6/10/2019 14:00,Max,NEM,Distributed PV,3485.154
6/10/2019 14:00,Max,NEM,Gas,389.489
6/10/2019 14:00,Max,NEM,Hydro,807.239
6/10/2019 14:00,Max,NEM,Liquid Fuel,0.035
6/10/2019 14:00,Max,NEM,Utility-scale Solar,2121.003
6/10/2019 14:00,Max,NEM,Wind,3471.743
28/10/2019 4:30,Min,NEM,Battery,7.987
28/10/2019 4:30,Min,NEM,Biomass,44.383
28/10/2019 4:30,Min,NEM,Black coal,10949.578
28/10/2019 4:30,Min,NEM,Brown coal,3592.268
28/10/2019 4:30,Min,NEM,Distributed PV,0
28/10/2019 4:30,Min,NEM,Gas,2093.411
28/10/2019 4:30,Min,NEM,Hydro,836.263
28/10/2019 4:30,Min,NEM,Liquid Fuel,0.054
28/10/2019 4:30,Min,NEM,Utility-scale Solar,0.716
28/10/2019 4:30,Min,NEM,Wind,904.623
6/11/2019 12:00,Max,NEM,Battery,15.502
6/11/2019 12:00,Max,NEM,Biomass,38.466
6/11/2019 12:00,Max,NEM,Black coal,8529.828
6/11/2019 12:00,Max,NEM,Brown coal,3306.539
6/11/2019 12:00,Max,NEM,Distributed PV,5753.06
6/11/2019 12:00,Max,NEM,Gas,787.343
6/11/2019 12:00,Max,NEM,Hydro,471.775
6/11/2019 12:00,Max,NEM,Liquid Fuel,0.111
6/11/2019 12:00,Max,NEM,Utility-scale Solar,2111.984
6/11/2019 12:00,Max,NEM,Wind,3632.085
29/11/2019 4:00,Min,NEM,Battery,0.014
29/11/2019 4:00,Min,NEM,Biomass,33.95
29/11/2019 4:00,Min,NEM,Black coal,11792.542
29/11/2019 4:00,Min,NEM,Brown coal,4181.912
29/11/2019 4:00,Min,NEM,Distributed PV,0
29/11/2019 4:00,Min,NEM,Gas,1033.359
29/11/2019 4:00,Min,NEM,Hydro,1014.723
29/11/2019 4:00,Min,NEM,Liquid Fuel,0.019
29/11/2019 4:00,Min,NEM,Utility-scale Solar,0.209
29/11/2019 4:00,Min,NEM,Wind,700.088
2/12/2019 12:30,Max,NEM,Battery,0.073
2/12/2019 12:30,Max,NEM,Biomass,38.116
2/12/2019 12:30,Max,NEM,Black coal,9706.786
2/12/2019 12:30,Max,NEM,Brown coal,3985.718
2/12/2019 12:30,Max,NEM,Distributed PV,5209.739
